lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CCL3-CCR5,Sinusoidal endothelial cell,IgM+ B cell,,,2.15529382495891e-07,,partial,0,1,0,1,,2.15529382495891e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Macrophage 1,,,1.23655230191722e-06,,partial,0,1,0,1,,1.23655230191722e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Macrophage 2,,,3.89593536341895e-07,,partial,0,1,0,1,,3.89593536341895e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Sinusoidal endothelial cell,,,1.85056212542379e-06,,partial,0,1,0,1,,1.85056212542379e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Stellate cell,,,3.70264832785073e-07,,partial,0,1,0,1,,3.70264832785073e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Sinusoidal endothelial cell,Vascular endothelial cell,,,4.82213059187104e-08,,partial,0,1,0,1,,4.82213059187104e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,CD4+ T cell,,,1.18975169441296e-06,,partial,0,1,0,1,,1.18975169441296e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,CD8+ T cell 1,,,1.98547795015455e-06,,partial,0,1,0,1,,1.98547795015455e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,CD8+ T cell 2,,,8.50067134327344e-07,,partial,0,1,0,1,,8.50067134327344e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,CD8+ T cell 3,,,9.61068487337626e-07,,partial,0,1,0,1,,9.61068487337626e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Cholangiocyte,,,6.32452698599068e-07,,partial,0,1,0,1,,6.32452698599068e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Hepatocyte 1,,,9.97530922082912e-08,,partial,0,1,0,1,,9.97530922082912e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Hepatocyte 2,,,7.57070702648096e-08,,partial,0,1,0,1,,7.57070702648096e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Hepatocyte 3,,,3.90764654657429e-08,,partial,0,1,0,1,,3.90764654657429e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Hepatocyte 4,,,6.89214526963172e-08,,partial,0,1,0,1,,6.89214526963172e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Ig+ hepatocyte,,,2.77539736939752e-07,,partial,0,1,0,1,,2.77539736939752e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,IgG+ B cell,,,2.02169509057861e-07,,partial,0,1,0,1,,2.02169509057861e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,IgG+ plasmablast / plasma cell,,,3.14221834959875e-07,,partial,0,1,0,1,,3.14221834959875e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,IgM+ B cell,,,1.07192050752354e-06,,partial,0,1,0,1,,1.07192050752354e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Macrophage 1,,,6.62493750332919e-07,,partial,0,1,0,1,,6.62493750332919e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Macrophage 2,,,8.35682228655245e-07,,partial,0,1,0,1,,8.35682228655245e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Sinusoidal endothelial cell,,,5.81171329289727e-07,,partial,0,1,0,1,,5.81171329289727e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Stellate cell,,,5.13638377964582e-07,,partial,0,1,0,1,,5.13638377964582e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Stellate cell,Vascular endothelial cell,,,3.15810949589887e-07,,partial,0,1,0,1,,3.15810949589887e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Vascular endothelial cell,CD4+ T cell,,,1.13719418196565e-06,,partial,0,1,0,1,,1.13719418196565e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Vascular endothelial cell,CD8+ T cell 1,,,9.39669008101352e-07,,partial,0,1,0,1,,9.39669008101352e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Vascular endothelial cell,CD8+ T cell 2,,,2.95488982890363e-07,,partial,0,1,0,1,,2.95488982890363e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Vascular endothelial cell,CD8+ T cell 3,,,4.23123311001585e-08,,partial,0,1,0,1,,4.23123311001585e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Vascular endothelial cell,Cholangiocyte,,,3.01554969967782e-07,,partial,0,1,0,1,,3.01554969967782e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
