source,target,ligand,receptor,irH_mean,AIH_mean,log2FC,enrich_strength,coherent,direction,irH_s1,irH_s2,AIH_s1,AIH_s2,abs_log2FC
Sinusoidal endothelial cell,IgM+ B cell,CXCL12,CD4,0.206863062587263,1.33287167207253,-2.63046519346569,1.33287167207253,TRUE,AIH,0.413726125174527,0,1.54657576186905,1.11916758227601,2.63046519346569
Ig+ hepatocyte,IgM+ B cell,FN1,CD44,0.331845329220355,2.16306068269048,-2.66831284391211,2.16306068269048,TRUE,AIH,0.663690658440709,0,2.10666457311258,2.21945679226839,2.66831284391211
CD4+ T cell,Hepatocyte 2,DCN,MET,0.276882758457369,1.83157919938962,-2.68241027304361,1.83157919938962,TRUE,AIH,0.316057649381972,0.237707867532767,1.77511389239079,1.88804450638845,2.68241027304361
IgM+ B cell,Ig+ hepatocyte,TGFB1,EGFR,0.170486897373486,1.26994759164995,-2.8261187271367,1.26994759164995,TRUE,AIH,0.340973794746972,0,1.27219296685874,1.26770221644116,2.8261187271367
IgM+ B cell,Ig+ hepatocyte,DCN,MET,0.181254014116562,1.37197010624846,-2.85316447565303,1.37197010624846,TRUE,AIH,0.362508028233123,0,1.53612879541875,1.20781141707817,2.85316447565303
CD8+ T cell 2,Vascular endothelial cell,FASLG,FAS,0.0725837249880882,0.609207066127328,-2.90649253628444,0.609207066127328,TRUE,AIH,0,0.145167449976176,0.796362094589994,0.422052037664662,2.90649253628444
CD8+ T cell 3,Cholangiocyte,DCN,MET,0.237954979588554,1.85116073815269,-2.90805255449588,1.85116073815269,TRUE,AIH,0.0935316463818756,0.382378312795233,2.10666457311258,1.59565690319279,2.90805255449588
Hepatocyte 2,CD4+ T cell,ICAM1,IL2RG,0.178869260593802,1.64320199732783,-3.12980319163637,1.64320199732783,TRUE,AIH,0,0.357738521187604,1.68716823212863,1.59923576252703,3.12980319163637
Hepatocyte 1,CD4+ T cell,CEACAM1,HAVCR2,0.125343012715323,1.22302918902224,-3.18751463919859,1.22302918902224,TRUE,AIH,0.250686025430645,0,1.24272884575556,1.20332953228891,3.18751463919859
Cholangiocyte,CD8+ T cell 2,TGFB1,EGFR,0.0504422441279814,0.549025734776252,-3.20928556746418,0.549025734776252,TRUE,AIH,0.100884488255963,0,0.645522522270152,0.452528947282352,3.20928556746418
CD4+ T cell,Hepatocyte 2,DCN,EGFR,0.137648720043039,1.81120800442505,-3.6246549502883,1.81120800442505,TRUE,AIH,0.148885681524569,0.126411758561509,1.73232487421446,1.89009113463564,3.6246549502883
CD8+ T cell 2,Cholangiocyte,VEGFA,EGFR,0.111580008833304,1.58632529057983,-3.71477673232392,1.58632529057983,TRUE,AIH,0,0.223160017666608,2.10666457311258,1.06598600804708,3.71477673232392
Ig+ hepatocyte,IgM+ B cell,VEGFA,CD44,0.0527208099270333,1.09062431008518,-4.13323410009478,1.09062431008518,TRUE,AIH,0.105441619854067,0,0.868499938656665,1.31274868151369,4.13323410009478
CD8+ T cell 3,Cholangiocyte,FADD,FAS,0.0127348429078911,0.468972288782331,-4.3969652498576,0.468972288782331,TRUE,AIH,0.0254696858157822,0,0.569322689486467,0.368621888078195,4.3969652498576
Hepatocyte 1,CD4+ T cell,CCL15,CCR1,0.0464476978274165,1.27601270999105,-4.5098463479572,1.27601270999105,TRUE,AIH,0.092895395654833,0,1.52203068480725,1.02999473517485,4.5098463479572
Sinusoidal endothelial cell,CD4+ T cell,CCL16,CCR5,0,0.306179946253304,-4.98267396239901,0.306179946253304,TRUE,AIH,0,0,0.0966057179615783,0.515754174545029,4.98267396239901
Hepatocyte 3,CD4+ T cell,HLA-B,CD3D,0,0.319552287591363,-5.0424354798903,0.319552287591363,TRUE,AIH,0,0,0.158405354550705,0.480699220632021,5.0424354798903
Hepatocyte 3,CD4+ T cell,CCL16,CCR5,0,0.323864169418849,-5.06118936536091,0.323864169418849,TRUE,AIH,0,0,0.22405136390564,0.423676974932058,5.06118936536091
Sinusoidal endothelial cell,CD4+ T cell,CCL21,CXCR3,0,0.324164850105648,-5.06248808308829,0.324164850105648,TRUE,AIH,0,0,0.192514358708904,0.455815341502391,5.06248808308829
Vascular endothelial cell,CD8+ T cell 2,VCAN,EGFR,0,0.324408609091709,-5.06354008385532,0.324408609091709,TRUE,AIH,0,0,0.325219338754182,0.323597879429236,5.06354008385532
