source,target,pathway_label,direction,log2FC,p_perm,BH_FDR
Sinusoidal endothelial cell,CD4+ T cell,CD86,AIH,-6.00708665865727,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,CD8+ T cell 2,CXCL_CXCR3,AIH,-5.99064646492914,0.0099009900990099,0.010590318772137
IgM+ B cell,Hepatocyte 1,FN1,AIH,-5.97635970875458,0.0099009900990099,0.010590318772137
IgM+ B cell,CD4+ T cell,CD80,AIH,-5.95017947436042,0.00100286648697995,0.00289071096690355
Hepatocyte 2,CD4+ T cell,FN1,AIH,-5.94833614096243,0.02,0.0205263157894737
CD8+ T cell 1,CD4+ T cell,CCL_CCR5,AIH,-5.93327253469345,0.00100286648697995,0.00289071096690355
Macrophage 1,Sinusoidal endothelial cell,IL2,AIH,-5.93066456292037,0.00100286648697995,0.00289071096690355
Cholangiocyte,Cholangiocyte,CCL_CCR2,AIH,-5.91555179484596,0.0099009900990099,0.010590318772137
Vascular endothelial cell,Stellate cell,CCL_CCR1,AIH,-5.91102941163644,0.0099009900990099,0.010590318772137
CD8+ T cell 3,Macrophage 2,CXCL_CXCR4,AIH,-5.90197384151787,0.0099009900990099,0.010590318772137
CD8+ T cell 2,IgG+ plasmablast / plasma cell,CCL_CCR1,AIH,-5.88735153079275,0.00100286648697995,0.00289071096690355
CD8+ T cell 3,CD8+ T cell 3,CCL_CCR1,AIH,-5.88733236023305,0.0099009900990099,0.010590318772137
Stellate cell,CD4+ T cell,CD86,AIH,-5.88510940042519,0.00100286648697995,0.00289071096690355
Hepatocyte 1,Macrophage 1,CCL_CCR1,AIH,-5.86177977538028,0.02,0.0205263157894737
CD8+ T cell 3,Ig+ hepatocyte,FASLG,AIH,-5.85210558177266,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,IgG+ plasmablast / plasma cell,CCL_CCR2,AIH,-5.84528070667524,0.0099009900990099,0.010590318772137
Hepatocyte 1,Hepatocyte 1,EPO,AIH,-5.83802176207321,0.0099009900990099,0.010590318772137
Stellate cell,Macrophage 1,VEGF,AIH,-5.82770102295362,0.0099009900990099,0.010590318772137
IgM+ B cell,Hepatocyte 2,FN1,AIH,-5.81454601466834,0.0099009900990099,0.010590318772137
Hepatocyte 1,Hepatocyte 1,IL2,AIH,-5.81036377964294,0.0099009900990099,0.010590318772137
CD8+ T cell 3,CD8+ T cell 3,CD80,AIH,-5.80954684747571,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Macrophage 1,CSF,AIH,-5.80936965424342,0.01,0.010590318772137
CD8+ T cell 2,Macrophage 1,VEGF,AIH,-5.78818051979791,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,Sinusoidal endothelial cell,CSF,AIH,-5.78202886552648,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Hepatocyte 4,CEACAM,AIH,-5.76356126502012,0.00100286648697995,0.00289071096690355
Hepatocyte 1,CD8+ T cell 3,CXCL_CXCR6,AIH,-5.72482282631316,0.00100286648697995,0.00289071096690355
CD8+ T cell 3,CD4+ T cell,CD80,AIH,-5.71351983381297,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Sinusoidal endothelial cell,CEACAM,AIH,-5.70576407251481,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,Macrophage 1,LCK,AIH,-5.70025347023361,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,CD8+ T cell 1,VEGF,AIH,-5.69252074111898,0.0099009900990099,0.010590318772137
Hepatocyte 4,Hepatocyte 2,CEACAM,AIH,-5.68177621630593,0.00100286648697995,0.00289071096690355
CD8+ T cell 1,Sinusoidal endothelial cell,CCL_CCR1,AIH,-5.67526641746181,0.0099009900990099,0.010590318772137
CD8+ T cell 3,Macrophage 1,CCL_CCR1,AIH,-5.66882631888436,0.0099009900990099,0.010590318772137
Stellate cell,Stellate cell,VEGF,AIH,-5.65457472328975,0.03,0.0303382187147689
CD8+ T cell 2,CD8+ T cell 1,VEGF,AIH,-5.65456157282862,0.00100286648697995,0.00289071096690355
IgM+ B cell,Hepatocyte 4,FN1,AIH,-5.64162629913146,0.0099009900990099,0.010590318772137
Sinusoidal endothelial cell,CD8+ T cell 1,CD86,AIH,-5.63608752846095,0.00100286648697995,0.00289071096690355
Macrophage 1,Sinusoidal endothelial cell,CCL_CCR1,AIH,-5.56827152713609,0.0099009900990099,0.010590318772137
Hepatocyte 2,Hepatocyte 1,CCL_CCR1,AIH,-5.55491366541904,0.01,0.010590318772137
CD8+ T cell 1,IgM+ B cell,CCL_CCR1,AIH,-5.54464208184062,0.00100286648697995,0.00289071096690355
IgG+ plasmablast / plasma cell,Macrophage 1,VEGF,AIH,-5.51281843691058,0.0099009900990099,0.010590318772137
Hepatocyte 2,Stellate cell,VEGF,AIH,-5.49881004421583,0.00100286648697995,0.00289071096690355
Stellate cell,Macrophage 1,IL2,AIH,-5.49747509124708,0.00100286648697995,0.00289071096690355
Hepatocyte 1,Ig+ hepatocyte,CEACAM,AIH,-5.48264624900838,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Macrophage 1,VEGF,AIH,-5.47834040832242,0.0099009900990099,0.010590318772137
CD8+ T cell 1,Macrophage 1,CCL_CCR5,AIH,-5.46944545704658,0.00100286648697995,0.00289071096690355
Cholangiocyte,Stellate cell,CXCL_CXCR2,AIH,-5.46529321728646,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,CD8+ T cell 1,CD86,AIH,-5.45886517888873,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Macrophage 1,IL2,AIH,-5.43835640187157,0.00100286648697995,0.00289071096690355
