sample,x0,y0,n_hep,n_cd4,n_interact,frac
56784_c,16345.9170014954,-8712.21958007813,163,40,15,0.375
56784_c,16345.9170014954,-8662.21958007813,141,55,19,0.345454545454545
56784_c,16345.9170014954,-8612.21958007813,118,53,17,0.320754716981132
56784_c,16345.9170014954,-8562.21958007813,110,54,17,0.314814814814815
56784_c,16345.9170014954,-8512.21958007812,121,43,13,0.302325581395349
56784_c,16395.9170014954,-8712.21958007813,169,40,17,0.425
56784_c,16395.9170014954,-8662.21958007813,157,53,22,0.415094339622642
56784_c,16395.9170014954,-8612.21958007813,145,51,20,0.392156862745098
56784_c,16395.9170014954,-8562.21958007813,145,49,18,0.36734693877551
56784_c,16395.9170014954,-8512.21958007812,148,38,14,0.368421052631579
56784_c,16445.9170014954,-8962.21958007813,156,31,16,0.516129032258065
56784_c,16445.9170014954,-8712.21958007813,181,37,16,0.432432432432432
56784_c,16445.9170014954,-8662.21958007813,172,44,18,0.409090909090909
56784_c,16445.9170014954,-8612.21958007813,164,44,18,0.409090909090909
56784_c,16445.9170014954,-8562.21958007813,161,43,17,0.395348837209302
56784_c,16445.9170014954,-8512.21958007812,149,33,13,0.393939393939394
56784_c,16595.9170014954,-9112.21958007813,116,30,11,0.366666666666667
56784_c,16645.9170014954,-9162.21958007812,98,35,16,0.457142857142857
56784_c,16645.9170014954,-9112.21958007813,93,34,15,0.441176470588235
56784_c,16795.9170014954,-9212.21958007813,109,31,18,0.580645161290323
56784_c,16845.9170014954,-9262.21958007812,76,45,13,0.288888888888889
56784_c,16845.9170014954,-9212.21958007813,97,47,16,0.340425531914894
56784_c,16845.9170014954,-9162.21958007812,103,38,16,0.421052631578947
56784_c,16895.9170014954,-9212.21958007813,86,66,11,0.166666666666667
56784_c,16895.9170014954,-9162.21958007812,95,41,11,0.268292682926829
56784_c,16945.9170014954,-9212.21958007813,75,111,11,0.0990990990990991
56784_c,16945.9170014954,-9162.21958007812,83,53,12,0.226415094339623
56784_c,16995.9170014954,-9212.21958007813,70,120,7,0.0583333333333333
56784_c,16995.9170014954,-9162.21958007812,84,56,10,0.178571428571429
56784_c,17045.9170014954,-9212.21958007813,64,119,3,0.0252100840336134
56784_c,17045.9170014954,-9162.21958007812,76,55,6,0.109090909090909
56784_c,17095.9170014954,-9212.21958007813,64,106,5,0.0471698113207547
56784_c,17095.9170014954,-9162.21958007812,77,43,5,0.116279069767442
56784_c,17145.9170014954,-9262.21958007812,62,84,5,0.0595238095238095
56784_c,17145.9170014954,-9212.21958007813,79,82,5,0.0609756097560976
56784_c,17145.9170014954,-9162.21958007812,80,35,5,0.142857142857143
56784_c,17145.9170014954,-8762.21958007812,171,30,6,0.2
56784_c,17145.9170014954,-8712.21958007813,145,44,7,0.159090909090909
56784_c,17145.9170014954,-8662.21958007813,125,49,8,0.163265306122449
56784_c,17145.9170014954,-8612.21958007813,116,46,5,0.108695652173913
56784_c,17145.9170014954,-8562.21958007813,131,37,7,0.189189189189189
56784_c,17195.9170014954,-9312.21958007812,65,46,10,0.217391304347826
