sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
18321_a,2548.78463745117,-2124.14233398438,123,38,16,0.130081300813008,16
18321_a,2548.78463745117,-2074.14233398438,124,41,17,0.137096774193548,17
18321_a,2548.78463745117,-2024.14233398438,106,33,19,0.179245283018868,19
18321_a,2548.78463745117,-1974.14233398438,108,14,15,0.138888888888889,15
18321_a,2548.78463745117,-1924.14233398438,111,10,12,0.108108108108108,12
18321_a,2548.78463745117,-1874.14233398438,125,9,13,0.104,13
18321_a,2548.78463745117,-1824.14233398438,122,6,10,0.0819672131147541,10
18321_a,2598.78463745117,-2224.14233398438,103,6,3,0.029126213592233,3
18321_a,2598.78463745117,-2174.14233398438,123,8,7,0.0569105691056911,7
18321_a,2598.78463745117,-2124.14233398438,133,9,9,0.0676691729323308,9
18321_a,2598.78463745117,-2074.14233398438,131,12,11,0.083969465648855,11
18321_a,2598.78463745117,-2024.14233398438,100,17,15,0.15,15
18321_a,2598.78463745117,-1974.14233398438,90,14,14,0.155555555555556,14
18321_a,2598.78463745117,-1924.14233398438,97,13,13,0.134020618556701,13
18321_a,2598.78463745117,-1874.14233398438,104,12,14,0.134615384615385,14
18321_a,2598.78463745117,-1824.14233398438,107,9,11,0.102803738317757,11
18321_a,2648.78463745117,-2074.14233398438,141,5,10,0.0709219858156028,10
18321_a,2648.78463745117,-2024.14233398438,115,10,13,0.11304347826087,13
18321_a,2648.78463745117,-1974.14233398438,106,10,12,0.113207547169811,12
18321_a,2648.78463745117,-1924.14233398438,107,8,7,0.0654205607476636,7
18321_a,2648.78463745117,-1874.14233398438,117,8,7,0.0598290598290598,7
18321_a,2648.78463745117,-1824.14233398438,116,7,5,0.0431034482758621,5
18321_a,2698.78463745117,-2024.14233398438,132,6,7,0.053030303030303,7
18321_a,2698.78463745117,-1974.14233398438,129,7,8,0.062015503875969,8
18321_a,2698.78463745117,-1924.14233398438,129,7,8,0.062015503875969,8
18321_a,2698.78463745117,-1874.14233398438,134,7,8,0.0597014925373134,8
18321_a,2698.78463745117,-1824.14233398438,125,7,8,0.064,8
18321_a,2748.78463745117,-2024.14233398438,141,5,7,0.049645390070922,7
18321_a,2748.78463745117,-1974.14233398438,138,6,8,0.0579710144927536,8
18321_a,2748.78463745117,-1924.14233398438,140,6,8,0.0571428571428571,8
18321_a,2748.78463745117,-1874.14233398438,139,6,8,0.0575539568345324,8
18321_a,2748.78463745117,-1824.14233398438,141,6,8,0.0567375886524823,8
18321_a,3348.78463745117,-1824.14233398438,185,5,8,0.0432432432432432,8
18321_a,3348.78463745117,-1774.14233398438,188,5,8,0.0425531914893617,8
18321_a,3398.78463745117,-1974.14233398438,73,6,4,0.0547945205479452,4
18321_a,3398.78463745117,-1924.14233398438,99,8,4,0.0404040404040404,4
18321_a,3398.78463745117,-1874.14233398438,129,10,5,0.0387596899224806,5
18321_a,3398.78463745117,-1824.14233398438,141,14,6,0.0425531914893617,6
18321_a,3398.78463745117,-1774.14233398438,155,13,7,0.0451612903225806,7
